Date mutation,Valeur Fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Type local,Surface reelle bati,Nombre pieces principales
29/03/2018 00:00,470500,64,AV,6155,DE METZ,93230,ROMAINVILLE,93,63,E,65,Maison,132,4
20/05/2018 00:00,190000,12,AV,9640,VICTOR HUGO,93320,LES PAVILLONS-SOUS-BOIS,93,57,V,60,Maison,92,3
27/08/2018 00:00,389000,108,AV,8115,RASPAIL,93170,BAGNOLET,93,6,K,220,Maison,98,5
11/09/2018 00:00,249000,66,AV,50,ANATOLE FRANCE,93140,BONDY,93,10,AQ,165,Maison,32,2
30/07/2018 00:00,190000,39,AV,1420,CARNOT,93350,LE BOURGET,93,13,J,5,Maison,71,4
30/03/2018 00:00,235000,66,AV,1770,VICTOR HUGO,93270,SEVRAN,93,71,BS,39,Maison,60,3
28/08/2018 00:00,155000,11,AV,1020,GARROS,93150,LE BLANC-MESNIL,93,7,BH,154,Maison,47,3
14/09/2018 00:00,168000,8,AV,2280,PIERRE ET MARIE CURIE,93150,LE BLANC-MESNIL,93,7,AV,127,Maison,45,3
03/08/2018 00:00,224000,57,AV,2560,VOLTAIRE,93190,LIVRY-GARGAN,93,46,C,1625,Maison,73,4
28/09/2018 00:00,285000,18,AV,710,VAUQUELIN,93470,COUBRON,93,15,B,2140,Maison,85,5
07/03/2018 00:00,170000,23,AV,770,DU MARECHAL JOFFRE,93360,NEUILLY-PLAISANCE,93,49,B,547,Maison,47,3
03/04/2018 00:00,295000,58,AV,780,DES HIRONDELLES,93370,MONTFERMEIL,93,47,L,1026,Maison,100,3
09/01/2018 00:00,220000,22,AV,8155,RENE DAVID,94100,SAINT-MAUR-DES-FOSSES,94,68,DF,164,Maison,41,3
28/09/2018 00:00,295000,18,AV,7160,DES PLATANES,94340,JOINVILLE-LE-PONT,94,42,P,60,Maison,51,3
06/12/2018 00:00,177000,8,AV,6211,MAL DE LATTRE DE TASSIGNY,94410,ST MAURICE,94,69,C,76,Maison,28,2
25/01/2018 00:00,492000,69,AV,910,JACQUES BREL,94550,CHEVILLY-LARUE,94,21,M,132,Maison,122,5
27/04/2018 00:00,435000,61,AV,2515,DES DAHLIAS,94240,L'HAY-LES-ROSES,94,38,H,195,Maison,85,3
29/06/2018 00:00,250000,46,AV,15,ADRIEN RAYNAL,94310,ORLY,94,54,AC,17,Maison,76,4
26/07/2018 00:00,331000,44,AV,2580,DUNOIS,94240,L'HAY-LES-ROSES,94,38,U,87,Maison,73,4
19/01/2018 00:00,222500,45,AV,310,DU MAINE,94510,LA QUEUE-EN-BRIE,94,60,AL,48,Maison,72,4
09/02/2018 00:00,302000,56,AV,220,LOUIS WALLE,94470,BOISSY-SAINT-LEGER,94,4,AK,120,Maison,132,5
06/02/2018 00:00,219800,34,AV,310,DU MAINE,94510,LA QUEUE-EN-BRIE,94,60,AL,48,Maison,72,4
13/04/2018 00:00,283000,20,AV,90,DE BRETAGNE,94510,LA QUEUE-EN-BRIE,94,60,AL,48,Maison,81,5
03/05/2018 00:00,432510,9,AV,8120,DE LA REPUBLIQUE,92140,CLAMART,92,23,BP,91,Appartement,122,5
08/06/2018 00:00,420000,29,AV,3170,D ESTIENNE D ORVES,92350,LE PLESSIS-ROBINSON,92,60,R,126,Appartement,84,5
23/11/2018 00:00,170000,53,AV,4141,DU GEN PIERRE BILLOTTE,94000,CRETEIL,94,28,BK,180,Appartement,117,5
04/01/2018 00:00,330000,28,AV,5200,LE MIGNON,92270,BOIS-COLOMBES,92,9,D,121,Appartement,72,4
16/10/2018 00:00,470755,17,AV,3515,FAIDHERBE,92600,ASNIERES-SUR-SEINE,92,4,AL,126,Appartement,77,4
14/06/2018 00:00,379807,84,AV,820,DU MARECHAL FOCH,92210,SAINT-CLOUD,92,64,AN,174,Appartement,69,4
06/07/2018 00:00,490000,33,AV,430,THIERRY,92410,VILLE-D'AVRAY,92,77,AB,272,Appartement,107,4
02/02/2018 00:00,336649,46,AV,710,BOIS DE VERRIERES,92160,ANTONY,92,2,R,14,Appartement,67,4
26/02/2018 00:00,339000,192,AV,7142,PIERRE BROSSOLETTE,92240,MALAKOFF,92,46,M,53,Appartement,67,4
26/02/2018 00:00,222794,27,AV,3170,D ESTIENNE D ORVES,92350,LE PLESSIS-ROBINSON,92,60,R,126,Appartement,85,4
06/04/2018 00:00,251550,25,AV,4110,GABRIEL PERI,92350,LE PLESSIS-ROBINSON,92,60,Q,139,Appartement,98,4
20/03/2018 00:00,303000,249,AV,2510,DE LA DIVISION LECLERC,92290,CHATENAY-MALABRY,92,19,S,39,Appartement,79,4
08/06/2018 00:00,325000,166,AV,9640,DE VERDUN,92130,ISSY-LES-MOULINEAUX,92,40,M,150,Appartement,60,4
27/06/2018 00:00,202540,27,AV,3170,D ESTIENNE D ORVES,92350,LE PLESSIS-ROBINSON,92,60,R,126,Appartement,76,4
26/07/2018 00:00,434000,178,AV,2510,DE LA DIVISION LECLERC,92290,CHATENAY-MALABRY,92,19,AR,2,Appartement,91,4
11/07/2018 00:00,230000,28,AV,7110,DU PANORAMA,92340,BOURG-LA-REINE,92,14,G,125,Appartement,61,4
11/07/2018 00:00,230000,28,AV,7110,DU PANORAMA,92340,BOURG-LA-REINE,92,14,G,125,Appartement,61,4
23/07/2018 00:00,420000,4,AV,4127,DU GEN DE GAULLE,92170,VANVES,92,75,A,16,Appartement,87,4
02/08/2018 00:00,343000,61,AV,85,AUGUSTIN DUMONT,92240,MALAKOFF,92,46,F,183,Appartement,58,4
09/10/2018 00:00,403000,36,AV,1434,CHARLES DE GAULLE,92350,LE PLESSIS-ROBINSON,92,60,S,88,Appartement,90,4
30/01/2018 00:00,305000,105,AV,645,DU BELVEDERE,93310,LE PRE-SAINT-GERVAIS,93,61,H,221,Appartement,81,4
19/02/2018 00:00,495000,105,AV,4738,JEAN LOLIVE,93500,PANTIN,93,55,AJ,27,Appartement,85,4
19/06/2018 00:00,310000,15,AV,7175,PRESIDENT WILSON,93230,ROMAINVILLE,93,63,T,128,Appartement,80,4
11/07/2018 00:00,217100,90,AV,7145,PAUL VAILLANT COUTURIER,93000,BOBIGNY,93,8,V,196,Appartement,75,4
08/08/2018 00:00,179000,21,AV,7152,PIERRE KERAUTRET,93130,NOISY-LE-SEC,93,53,Q,155,Appartement,88,4
26/02/2018 00:00,252500,58,AV,4110,GALLIENI,93800,EPINAY SUR SEINE,93,31,A,31,Appartement,77,4
16/07/2018 00:00,198000,43,AV,4730,JEAN JAURES,93450,L'ILE-SAINT-DENIS,93,39,H,77,Appartement,84,4
14/02/2018 00:00,139000,8,AV,175,BERLIOZ,93270,SEVRAN,93,71,AT,12,Appartement,80,4
05/03/2018 00:00,144000,21,AV,175,BERLIOZ,93270,SEVRAN,93,71,AS,179,Appartement,82,4
08/03/2018 00:00,133000,43,AV,175,BERLIOZ,93270,SEVRAN,93,71,AS,23,Appartement,82,4
21/03/2018 00:00,147000,16,AV,175,BERLIOZ,93270,SEVRAN,93,71,AT,12,Appartement,82,4
28/03/2018 00:00,110000,3,AV,980,FERRER,93190,LIVRY-GARGAN,93,46,B,2750,Appartement,56,4
27/03/2018 00:00,161000,16,AV,175,BERLIOZ,93270,SEVRAN,93,71,AT,12,Appartement,82,4
16/05/2018 00:00,158000,21,AV,175,BERLIOZ,93270,SEVRAN,93,71,AS,179,Appartement,82,4
